customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,No,No,50,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,One year,No,Bank transfer (automatic),52.01,2600.5,No
CUST0001,Female,0,No,Yes,46,Yes,No phone service,No,No,Yes,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),23.72,1091.12,No
CUST0002,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,56.09,168.27,No
CUST0003,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No,Yes,One year,No,Mailed check,21.75,130.5,Yes
CUST0004,Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),39.24,1334.16,No
CUST0005,Female,0,Yes,No,47,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,Yes,One year,No,Electronic check,95.25,4476.75,Yes
CUST0006,Male,1,No,No,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),113.71,8187.12,No
CUST0007,Male,0,Yes,No,71,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,28.74,2040.54,Yes
CUST0008,Male,1,No,No,44,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),75.79,3334.76,No
CUST0009,Female,0,Yes,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Two year,No,Electronic check,45.39,3222.69,No
CUST0010,Male,0,No,No,18,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Mailed check,33.91,610.38,No
CUST0011,Male,0,No,Yes,62,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),41.9,2597.8,No
CUST0012,Male,1,Yes,No,37,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),77.78,2877.86,No
CUST0013,Male,1,Yes,Yes,66,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,26.51,1749.66,No
CUST0014,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,63.42,3678.36,No
CUST0015,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),33.52,2279.36,Yes
CUST0016,Female,0,Yes,No,12,Yes,No phone service,No,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,No,Mailed check,47.27,567.24,No
CUST0017,Female,0,Yes,Yes,46,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,One year,No,Electronic check,39.08,1797.68,No
CUST0018,Female,1,No,Yes,60,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),108.3,6498.0,No
CUST0019,Male,0,Yes,No,30,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,90.8,2724.0,No
CUST0020,Female,0,No,No,21,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,No,One year,No,Credit card (automatic),106.85,2243.85,No
CUST0021,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),58.35,2450.7,Yes
CUST0022,Female,1,No,No,66,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,Yes,Mailed check,51.34,3388.44,No
CUST0023,Female,0,No,No,53,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,58.06,3077.18,Yes
CUST0024,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,21.85,196.65,Yes
CUST0025,Female,0,Yes,Yes,41,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),92.47,3791.27,No
CUST0026,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),54.98,3463.74,No
CUST0027,Female,0,Yes,Yes,20,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,51.33,1026.6,Yes
CUST0028,Female,0,Yes,No,65,No,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.81,5187.65,No
CUST0029,Female,1,Yes,No,40,No,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),63.62,2544.8,No
CUST0030,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,118.08,2715.84,No
CUST0031,Male,1,No,Yes,34,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,55.63,1891.42,No
CUST0032,Female,1,Yes,Yes,55,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,81.39,4476.45,No
CUST0033,Female,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,51.17,1483.93,Yes
CUST0034,Female,0,No,Yes,56,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),119.06,6667.36,No
CUST0035,Male,1,Yes,Yes,46,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),64.51,2967.46,Yes
CUST0036,Female,0,Yes,No,34,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,83.41,2835.94,No
CUST0037,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),32.67,588.06,No
CUST0038,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),93.3,653.1,No
CUST0039,Male,0,Yes,Yes,25,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,46.92,1173.0,Yes
CUST0040,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Mailed check,64.86,4540.2,No
CUST0041,Male,0,No,No,29,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),108.31,3140.99,No
CUST0042,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,117.06,702.36,No
CUST0043,Female,0,Yes,No,66,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),62.46,4122.36,No
